angle,height,distance
9.0,3.0,9.460221365238294
10.0,3.0,9.641853867705322
11.0,3.0,9.822191467588565
12.0,3.0,10.000870150015531
13.0,3.0,10.177518425440905
14.0,3.0,10.3517587280088
15.0,3.0,10.52320882653607
16.0,3.0,10.691483234621428
17.0,3.0,10.856194607542651
18.0,3.0,11.016955114910335
19.0,3.0,11.173377779443364
20.0,3.0,11.325077773665441
21.0,3.0,11.471673667747055
22.0,3.0,11.61278862309317
23.0,3.0,11.748051527573221
24.0,3.0,11.877098069482528
25.0,3.0,11.99957174839769
26.0,3.0,12.115124822033577
27.0,3.0,12.223419189023536
28.0,3.0,12.32412720822842
29.0,3.0,12.416932455740406
30.0,3.0,12.501530421192212
31.0,3.0,12.577629145321486
32.0,3.0,12.64494980098593
33.0,3.0,12.703227219988186
34.0,3.0,12.752210368163203
35.0,3.0,12.791662771216062
36.0,3.0,12.821362893785208
37.0,3.0,12.841104474155394
38.0,3.0,12.850696816964382
39.0,3.0,12.849965046145359
40.0,3.0,12.838750320230238
41.0,3.0,12.816910012012313
42.0,3.0,12.784317854435198
43.0,3.0,12.740864054442591
44.0,3.0,12.686455376392294
45.0,3.0,12.621015196511468
46.0,3.0,12.544483529749202
47.0,3.0,12.456817030268718
48.0,3.0,12.357988966715725
49.0,3.0,12.247989173302065
50.0,3.0,12.126823977654801
51.0,3.0,11.994516106300809
52.0,3.0,11.851104568584967
53.0,3.0,11.69664451975648
54.0,3.0,11.531207103901718
55.0,3.0,11.354879277353453
56.0,3.0,11.167763613164365
57.0,3.0,10.969978087197148
58.0,3.0,10.761655846353705
59.0,3.0,10.542944959441419
60.0,3.0,10.314008151154619
61.0,3.0,10.075022519633896
62.0,3.0,9.826179238054323
63.0,3.0,9.567683240685296
64.0,3.0,9.299752893859454
65.0,3.0,9.022619652285618
66.0,3.0,8.736527701140318
67.0,3.0,8.441733584374008
68.0,3.0,8.138505819671636
69.0,3.0,7.827124500511717
70.0,3.0,7.507880885774136
71.0,3.0,7.18107697735379
72.0,3.0,6.847025086244621
73.0,3.0,6.50604738756702
74.0,3.0,6.15847546502
75.0,3.0,5.804649845248582
76.0,3.0,5.4449195226256695
77.0,3.0,5.079641474956901
78.0,3.0,4.709180170625772
79.0,3.0,4.333907067705148
80.0,3.0,3.954200105569817
81.0,3.0,3.5704431895528117
82.0,3.0,3.183025669196013
83.0,3.0,2.7923418106529243
84.0,3.0,2.3987902638081153
85.0,3.0,2.002773524684215
86.0,3.0,1.6046973937128448
87.0,3.0,1.2049704304509066
88.0,3.0,0.8040034053279336
89.0,3.0,0.4022087490139446
90.0,3.0,1.4113331300809608E-15
0.0,4.0,9.03201511503575
1.0,4.0,9.210330264843748
2.0,4.0,9.389176141415781
3.0,4.0,9.568315396745371
4.0,4.0,9.74749748920621
5.0,4.0,9.926459184210676
6.0,4.0,10.10492514422518
7.0,4.0,10.282608603297676
8.0,4.0,10.459212120173236
9.0,4.0,10.63442840314015
10.0,4.0,10.807941198981455
11.0,4.0,10.979426237816957
12.0,4.0,11.148552225214939
13.0,4.0,11.314981872729788
14.0,4.0,11.47837295797495
15.0,4.0,11.638379405457334
16.0,4.0,11.794652379664104
17.0,4.0,11.946841382284669
18.0,4.0,12.094595345949253
19.0,4.0,12.237563717447038
20.0,4.0,12.375397524029301
21.0,4.0,12.507750417084505
22.0,4.0,12.63427968817219
23.0,4.0,12.754647253103432
24.0,4.0,12.868520600441222
25.0,4.0,12.975573701451953
26.0,4.0,13.075487879158414
27.0,4.0,13.167952634718311
28.0,4.0,13.252666429874374
29.0,4.0,13.329337424690033
30.0,4.0,13.397684170197248
31.0,4.0,13.457436255940584
32.0,4.0,13.508334912706315
33.0,4.0,13.550133570979568
34.0,4.0,13.582598375880103
35.0,4.0,13.60550865949239
36.0,4.0,13.618657371632171
37.0,4.0,13.62185147018454
38.0,4.0,13.614912272211873
39.0,4.0,13.597675767067932
40.0,4.0,13.56999289277131
41.0,4.0,13.531729776890675
42.0,4.0,13.482767943179335
43.0,4.0,13.423004485170718
44.0,4.0,13.352352207911848
45.0,4.0,13.270739738971313
46.0,4.0,13.178111609813675
47.0,4.0,13.074428308584919
48.0,4.0,12.95966630530569
49.0,4.0,12.833818050420883
50.0,4.0,12.696891947607334
51.0,4.0,12.548912301696262
52.0,4.0,12.389919242524254
53.0,4.0,12.219968625486633
54.0,4.0,12.039131909529955
55.0,4.0,11.847496013286612
56.0,4.0,11.645163150023853
57.0,4.0,11.432250642052214
58.0,4.0,11.20889071521426
59.0,4.0,10.975230274053537
60.0,4.0,10.731430658245417
61.0,4.0,10.477667380856627
62.0,4.0,10.214129848987316
63.0,4.0,9.941021067339646
64.0,4.0,9.658557325248951
65.0,4.0,9.366967867707725
66.0,4.0,9.066494550908786
67.0,4.0,8.757391482831789
68.0,4.0,8.43992464939649
69.0,4.0,8.11437152670677
70.0,4.0,7.781020679911162
71.0,4.0,7.440171349208445
72.0,4.0,7.09213302353028
73.0,4.0,6.737225002437283
74.0,4.0,6.3757759467696475
75.0,4.0,6.008123418598757
76.0,4.0,5.634613411031711
77.0,4.0,5.255599868426591
78.0,4.0,4.871444197582087
79.0,4.0,4.482514770471053
80.0,4.0,4.089186419093538
81.0,4.0,3.691839923030352
82.0,4.0,3.290861490283956
83.0,4.0,2.8866422319986818
84.0,4.0,2.479577631657159
85.0,4.0,2.0700670093545535
86.0,4.0,1.6585129817562985
87.0,4.0,1.2453209183488068
88.0,4.0,0.8308983945958491
89.0,4.0,0.41565464261617724
90.0,4.0,1.458504220949526E-15
0.0,5.0,10.09809988551276
